material,model,fold,origin,seconds,status,MAE,RMSE,MAPE,sMAPE,MASE,Bias,PICP
RING SEAL,AutoTS,0,2024-08-01,69.99525904655457,ok,3.382964827972478,4.820928657624191,39.5984440845963,61.9285322443608,0.8975496585899918,-3.382964827972478,0.6666666666666666
RING SEAL,AutoTS,1,2024-07-01,46.96997356414795,ok,1.344399109623593,1.9111337499910086,32.213936579654494,23.76597534719598,0.3403837845582462,1.344399109623593,0.6666666666666666
RING SEAL,AutoTS,2,2024-06-01,52.01255702972412,ok,2.6354669779014186,2.8183336374292915,55.75105962410108,55.441889791918186,0.652446819061892,0.40082418330901753,1.0
RING SEAL,AutoTS,3,2024-05-01,40.31603717803955,ok,1.6548695333333334,1.984090338946798,44.71890348777157,60.96450566838758,0.37197562474483575,-0.45830973333333364,0.3333333333333333
RING SEAL,CrostonSBA,0,2024-08-01,0.0010051727294921875,ok,2.0780811477291765,2.7015567319828264,24.004883053908184,29.474905158790516,0.5513450832370862,-2.0780811477291765,
RING SEAL,CrostonSBA,1,2024-07-01,0.0018222332000732422,ok,1.0962842329398113,1.3243399701412333,21.98581052476421,20.373201138764465,0.27756443268105413,0.044934132152766836,
RING SEAL,CrostonSBA,2,2024-06-01,0.0,ok,0.7237268149331234,0.9927376845581868,17.073363782483046,14.715703616388689,0.17916872502379486,0.391105278132704,
RING SEAL,CrostonSBA,3,2024-05-01,0.0,ok,1.7321607039997662,2.0982332356860125,54.371439977104494,38.06729009666701,0.38934885623940274,1.6123198453326328,
RING SEAL,ETS,0,2024-08-01,0.04267311096191406,ok,1.6896818522780277,2.0973270668403696,20.492516796957457,23.03606868461622,0.4482971141461086,-1.1911311035007488,1.0
RING SEAL,ETS,1,2024-07-01,0.03323698043823242,ok,1.4088670416751123,1.648490913163825,31.34696782125035,25.37141956289326,0.35670619844357215,0.9826825583586704,1.0
RING SEAL,ETS,2,2024-06-01,0.01888442039489746,ok,1.3995107351501082,1.6706870052643272,31.92015591876809,25.44618393610164,0.34646851394766875,1.3995107351501082,1.0
RING SEAL,ETS,3,2024-05-01,0.01943492889404297,ok,2.7692878658453,3.077655391950497,82.56442109602219,52.813863745885534,0.622470571393744,2.7692878658453,0.6666666666666666
RING SEAL,MLForecast,0,2024-08-01,0.07828116416931152,ok,2.5555624651200928,3.305519268412472,29.533765002907792,38.399853897482956,0.67802780540543,-2.5555624651200928,
RING SEAL,MLForecast,1,2024-07-01,0.07148981094360352,ok,4.011126918871812,4.509904751418585,86.97404680247219,54.62414092850039,1.0155634225102321,4.011126918871812,
RING SEAL,MLForecast,2,2024-06-01,0.05178952217102051,ok,3.4903934367224303,4.335218964243848,80.75212601201072,48.911286883906826,0.8640958563166784,3.4903934367224303,
RING SEAL,MLForecast,3,2024-05-01,0.05192422866821289,ok,3.3238633308131753,3.705713453607182,99.10914556116467,60.40965873139208,0.7471260508103388,2.5947899272516075,
RING SEAL,NBEATSx,0,2024-08-01,35.036088943481445,ok,1.9586597090051272,2.0801531062213066,29.439925859951092,26.864954982303583,0.5196608426358215,-0.014439579586181436,0.0
RING SEAL,NBEATSx,1,2024-07-01,33.29135870933533,ok,1.1180652430725095,1.1244765776446257,21.768421683444718,24.04203108976408,0.28307909168923,-0.46313155103149395,0.3333333333333333
RING SEAL,NBEATSx,2,2024-06-01,29.71123695373535,ok,3.2928609873408003,3.388482713753744,63.32574535856359,59.328804446700936,0.8151939276106039,1.8483322556767785,0.0
RING SEAL,NBEATSx,3,2024-05-01,29.616570472717285,ok,7.468028245747884,8.304389554649466,222.96947446380443,91.58571329465494,1.6786365428631063,7.468028245747884,0.0
RING SEAL,NHITS,0,2024-08-01,29.60205101966858,ok,1.6064471210127769,1.7449094770340812,22.444284378013066,24.839714393058866,0.4262137321339078,-0.9257329272627765,0.0
RING SEAL,NHITS,1,2024-07-01,30.62849259376526,ok,2.033353833211263,2.4928164763872678,44.23766435026411,78.82394517142238,0.5148178603660691,-1.7961589138549803,0.3333333333333333
RING SEAL,NHITS,2,2024-06-01,33.951728105545044,ok,2.7339161377878827,2.8603203817932545,58.27446713499952,93.40593938482513,0.6768192895750254,-1.4825807714508052,0.0
RING SEAL,NHITS,3,2024-05-01,51.782042503356934,ok,7.533003984273274,7.95458805567003,216.42898491058617,94.45068811734089,1.6932415557927698,7.533003984273274,0.0
RING SEAL,Naive,0,2024-08-01,0.0020101070404052734,ok,3.557255076666666,3.953991805763523,44.993837423562205,59.73220036600938,0.9437913906699524,-3.557255076666666,
RING SEAL,Naive,1,2024-07-01,0.0,ok,1.2559984333333334,1.4235567086360479,26.76889427276503,23.058284525444737,0.31800192151044065,0.524076733333333,
RING SEAL,Naive,2,2024-06-01,0.0,ok,2.342000516666666,2.513469950452088,43.66441674695652,57.11923932650086,0.5797950800192613,-2.342000516666666,
